variable,missing_count,missing_pct
lag_excess_ret_2q,1,2.500000
quarter_end,0,0.000000
year,0,0.000000
quarter,0,0.000000
quarter_label,0,0.000000
midcap_ret,0,0.000000
largecap_ret,0,0.000000
excess_ret,0,0.000000
cpi_yoy,0,0.000000
gdp_yoy,0,0.000000
repo,0,0.000000
repo_chg_bps,0,0.000000
rain_anom,0,0.000000
next_q_excess_ret,0,0.000000
lag_excess_ret_1q,0,0.000000
lag_cpi_yoy_1q,0,0.000000
lag_gdp_yoy_1q,0,0.000000
lag_repo_1q,0,0.000000
lag_repo_chg_bps_1q,0,0.000000
lag_rain_anom_1q,0,0.000000
good_monsoon_flag,0,0.000000
poor_monsoon_flag,0,0.000000
normal_monsoon_flag,0,0.000000
target_direction,0,0.000000
allocation_signal_label,0,0.000000
